"","np_id","target_id","activity_type_grouped","activity_relation","activity_type","activity_value","activity_units","assay_organism","assay_tax_id","assay_strain","assay_tissue","assay_cell_type","ref_id","ref_id_type"
"1","NPC57278","NPT65","Others","<=","Activity",56,"%","Homo sapiens","9606","n.a.","n.a.","HepG2","30295481","PMID"
"2","NPC130941","NPT20529","GI50","=","GI50",33,"nM","Homo sapiens","9606","n.a.","n.a.","HepG","571104","PMID"
"3","NPC55832","NPT65","IC50","=","IC50",1100,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","489764","PMID"
"4","NPC483402","NPT65","Others","=","Activity",37,"%","Homo sapiens","9606","n.a.","n.a.","HepG2","31556297","PMID"
"5","NPC481123","NPT65","IC50","=","IC50",52,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","15270578","PMID"
"6","NPC266383","NPT963","Others","=","Activity",30.9,"%","Hepatitis B virus","10407","n.a.","n.a.","HepG2","532211","PMID"
"7","NPC202672","NPT20529","IC50",">","IC50",30,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","515217","PMID"
"8","NPC481234","NPT1572","Others","=","FC",1.8,"n.a.","Homo sapiens","9606","n.a.","n.a.","HepG2","30336025","PMID"
"9","NPC86008","NPT27","Others","=","CC50",56700,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2 2.2.15","543902","PMID"
"10","NPC483402","NPT65","Others","=","Activity",37,"%","Homo sapiens","9606","n.a.","n.a.","HepG2","31556297","PMID"
"11","NPC307164","NPT65","IC50","=","IC50",3.41,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","534605","PMID"
"12","NPC306365","NPT65","IC50","=","IC50",10.42,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","529336","PMID"
"13","NPC210434","NPT65","IC50","=","IC50",6.2,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","549960","PMID"
"14","NPC210434","NPT65","IC50","=","IC50",6.2,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","549960","PMID"
"15","NPC214869","NPT65","IC50",">","IC50",20,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","553469","PMID"
"16","NPC233650","NPT65","GI50","=","GI50",20,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","572883","PMID"
"17","NPC31037","NPT65","IC50","=","IC50",70.2,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","542244","PMID"
"18","NPC278648","NPT65","IC50","=","IC50",9.1,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","468723","PMID"
"19","NPC243089","NPT544","Others","=","FC",1.3,"n.a.","Homo sapiens","9606","n.a.","n.a.","HepG2","494318","PMID"
"20","NPC233650","NPT65","GI50","=","GI50",20,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","572883","PMID"
"21","NPC210434","NPT65","IC50","=","IC50",6.2,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","HepG2","549960","PMID"
"22","NPC210828","NPT65","IC50","=","IC50",65900,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","481033","PMID"
"23","NPC114306","NPT2","Others","=","Ratio IC50",7.8,"n.a.","Homo sapiens","9606","n.a.","n.a.","HepG2/Dox","471032","PMID"
