"","np_id","formula","mw","alogp","mlogp","xlogp","hba","hbd","psa","rotatable_bond","rings","heavy_atom","lipinski_failure"
"30","NPC130941","C24H27NO4",393.19,-0.7348,3.55,3.006,1,0,40.16,8,5,29,0
"53","NPC55832","C25H26O6",422.17,1.2469,3.55,3.489,1,4,107.22,13,3,31,0
"91","NPC266383","C15H24N2O",248.19,-1.9058,2.78,1.381,3,0,23.55,0,4,18,0
"105","NPC202672","C20H30O4",334.21,2.2235,3.22,3.26,4,2,66.76,5,2,24,0
"132","NPC86008","C28H32O17",640.16,-6.3762,2.67,-2.039,12,11,285.75,19,5,45,2
"228","NPC307164","C31H46O4",482.34,3.3429,4.43,9.853,4,0,52.6,14,5,35,1
"243","NPC306365","C27H34O5",438.24,1.8313,3.88,6.456,3,0,61.83,10,4,32,1
"249","NPC210434","C18H13NO3",291.09,-0.3674,3,3.348,2,0,48.42,4,4,22,0
"415","NPC214869","C19H21NO5",343.14,-0.7017,2.89,2.665,2,3,91.51,12,2,25,0
"417","NPC233650","C23H25NO4",379.18,-1.2561,3.44,2.42,2,1,51.16,7,5,28,0
"437","NPC31037","C20H32O2",304.24,0.7951,3.44,3.308,2,2,40.46,7,3,22,0
"439","NPC278648","C28H46O3",430.34,1.5823,4.21,6.651,3,2,57.53,15,3,31,1
"550","NPC210828","C13H9NO2",211.06,-1.0731,2.56,2.984,2,2,53.09,2,3,16,0
"572","NPC114306","C42H64O14",792.43,-0.7503,4.54,3.145,14,2,178.04,24,7,56,2
"579","NPC193666","C20H20O6",356.13,-1.8128,3,2.13,2,1,66.38,5,5,26,0
"651","NPC87394","C19H34O2",294.26,-2.6641,3.33,7.386,2,1,37.3,17,1,21,2
"688","NPC30515","C22H32O6",392.22,2.0295,3.22,2.814,6,2,93.06,8,2,28,0
"690","NPC150383","C30H46O4",470.34,2.3234,4.32,4.93,4,1,63.6,11,5,34,0
"752","NPC255566","C21H22O7",386.14,-1.8646,3,1.686,2,1,75.61,7,5,28,0
"784","NPC249583","C14H11NO2",225.08,-0.6646,2.67,2.863,2,1,42.09,3,3,17,0
"815","NPC123526","C20H20O6",356.13,-1.8128,3,2.13,2,1,66.38,5,5,26,0
"840","NPC231680","C30H52O3",460.39,1.591,4.43,8.928,3,2,49.69,12,5,33,1
"852","NPC208197","C19H18O8",374.1,-1.6314,2.67,0.754,1,2,103.68,11,3,27,0
"857","NPC210089","C13H12O3",216.08,0.2833,2.56,2.928,3,0,43.37,3,2,16,0
"913","NPC169387","C20H19NO5",353.13,-0.7619,3,2.102,2,0,57.23,4,5,26,0
"935","NPC80471","C11H16O3",196.11,0.9505,2.34,0.952,3,1,46.53,4,2,14,0
"943","NPC253456","C29H40O9",532.27,-1.7372,3.66,1.844,9,3,131.75,7,7,38,0
"964","NPC168017","C15H24N2O2",264.18,-2.1285,2.67,0.351,4,1,43.78,1,4,19,0
"1040","NPC113044","C39H62O12",722.42,-2.7167,4.43,4.099,12,6,176.76,16,8,51,2
"1049","NPC207179","C15H14O5",274.08,-2.0337,2.56,0.94,1,4,90.15,5,3,20,0
"1055","NPC96603","C20H23NO4",342.17,-1.9843,3.11,1.008,0,2,58.92,8,4,25,0
"1058","NPC233718","C18H17NO4",311.12,NA,2.89,NA,3,1,55.76,2,5,23,0
"1073","NPC124658","C32H31NO8",557.2,2.7707,3.99,6.305,3,0,114.2,10,5,41,1
"1100","NPC12053","C20H23NO4",342.17,-1.9843,3.11,1.008,0,2,58.92,8,4,25,0
"1133","NPC206614","C19H28O7",368.18,0.0632,2.78,1.215,7,2,102.29,9,3,26,0
"1437","NPC147390","C19H23NO4",329.16,-0.6295,3,2.031,1,2,62.16,9,3,24,0
"1471","NPC308689","C18H20O4",300.14,-0.7889,3,2.806,2,4,80.92,10,2,22,0
"1525","NPC202666","C42H62O16",822.4,-1.6063,4.32,4.414,16,8,267.04,22,7,58,2
"1527","NPC169402","C16H15NO4",285.1,-0.5128,2.67,2.88,3,1,60.55,7,3,21,0
