"","np_id","formula","mw","alogp","mlogp","xlogp","hba","hbd","psa","rotatable_bond","rings","heavy_atom","lipinski_failure"
"1","NPC4665","C8H8O4",168.04,-1.1256,1.9,0.528,2,3,77.76,5,1,12,0
"2","NPC284550","C17H16O5",300.1,-1.2022,2.78,1.818,1,2,75.99,6,3,22,0
"3","NPC275356","C9H8O4",180.04,-0.3581,2.01,0.573,2,2,66.76,3,2,13,0
"4","NPC472909","C18H18O6",330.11,-1.254,2.78,1.374,1,2,85.22,8,3,24,0
"5","NPC251571","C18H19NO4",313.13,-0.6499,2.89,3.538,2,3,82.28,10,2,23,0
"6","NPC84585","C15H12O3",240.08,-0.8938,2.78,3.456,1,1,46.53,2,3,18,0
"7","NPC14248","C19H20O5",328.13,2.0804,3,3.711,3,0,61.83,8,3,24,0
"8","NPC154339","C10H9NO2",175.06,-1.3463,2.23,1.344,3,2,53.09,3,2,13,0
"9","NPC148270","C17H26O11",406.15,-3.3679,2.12,-2.002,11,6,175.37,13,3,28,2
"10","NPC23614","C21H18NO4.H2O",348.12,-1.7479,3.22,3.37,0,0,40.8,5,5,26,0
"11","NPC38065","C15H10O6",286.05,-2.5079,2.45,0.978,1,4,107.22,5,3,21,0
"12","NPC258780","C30H26O6",482.17,-1.6952,4.1,4.56,0,4,99.38,9,6,36,0
"13","NPC293852","C20H16O5",336.1,-0.5164,3.11,2.967,1,2,75.99,5,4,25,0
"14","NPC143326","C10H17NO6",247.11,-1.5784,1.79,-1.478,7,4,123.17,9,1,17,0
"15","NPC81654","C21H26N2O3.ClH",354.19,-1.212,3.22,2.857,5,2,65.56,4,5,26,0
"16","NPC215831","C15H18O3",246.13,1.0123,2.78,1.792,3,0,43.37,2,3,18,0
"17","NPC256925","C19H20O7",360.12,-1.3988,2.78,1.172,2,4,116.45,11,3,26,0
"18","NPC248944","C27H44O3",416.33,0.3408,4.1,7.306,3,1,38.69,5,6,30,1
"19","NPC224314","C56H90O24",1146.58,-6.4467,4.98,0.279,24,12,353.52,30,11,80,3
"20","NPC26229","C31H64",436.5,-8.2494,4.87,17.979,0,0,0,30,0,31,2
"21","NPC137669","C15H16O4",260.1,1.6319,2.67,2.808,1,0,44.76,7,2,19,0
"22","NPC472098","C19H22N2O3",326.16,-0.1339,3,1.773,4,0,43.7,4,5,24,0
