"","ChEMBL ID","Name","Synonyms","Type","Max Phase","Molecular Weight","Targets"
"1","CHEMBL1284","3,4-DIHYDROXYPHENYLACETIC ACID","3,4-Dihydroxyphenylacetic Acid (Dopac)","Small molecule",0,168.15,56
"2","CHEMBL1969778",NA,NA,"Small molecule",0,300.31,56
"3","CHEMBL575424","5,7-DIHYDROXY-4-METHYLPHTHALIDE",NA,"Small molecule",0,180.16,18
"4","CHEMBL3594084",NA,NA,"Small molecule",0,330.34,7
"5","CHEMBL2334872",NA,NA,"Small molecule",0,313.35,3
"6","CHEMBL402744",NA,"(2S)-7-Hydroxyflavanone","Small molecule",0,240.26,10
"7","CHEMBL2402007","(-)-PRANTSCHIMGIN",NA,"Small molecule",0,328.36,5
"8","CHEMBL524903",NA,"3-(Hydroxyacetyl)Indole|3-(Hydroxylacetyl)-Indole","Small molecule",0,175.19,9
"9","CHEMBL1081414","SHANZHISIDE METHYL ESTER","Shanzhiside Methyl Ester","Small molecule",0,406.38,6
"10","CHEMBL1971693",NA,NA,"Small molecule",0,365.39,55
"11","CHEMBL241609","OROBOL","Orobol","Small molecule",0,286.24,11
"12","CHEMBL564527",NA,NA,"Small molecule",0,482.53,7
"13","CHEMBL465808","ATALANTOFLAVONE","Atalantoflavone","Small molecule",0,336.34,14
"14","CHEMBL3039425","LINAMARIN",NA,"Small molecule",0,247.25,2
"15","CHEMBL1979348",NA,NA,"Small molecule",0,390.91,60
"16","CHEMBL1940084",NA,"(+)-tuberiferin","Small molecule",0,246.31,5
"17","CHEMBL565010","NIGROLINEAXANTHONE T","Nigrolineaxanthone T","Small molecule",0,360.36,7
"18","CHEMBL1171146","SARSASAPOGENIN","Sarsasapogenin","Small molecule",0,416.65,16
"19","CHEMBL503722","PARISSAPONIN PB","Parissaponin Pb","Small molecule",0,1147.31,1
"20","CHEMBL257490","HENTRIACONTANE","Hentriacontane|N-Hentriacontane","Small molecule",0,436.85,2
"21","CHEMBL594886","PRENYLETIN 6-METHYL ETHER",NA,"Small molecule",0,260.29,3
"22","CHEMBL3338221",NA,NA,"Small molecule",0,326.4,2
"23","CHEMBL491174","PRUNETIN","Prunetin","Small molecule",0,284.27,27
"24","CHEMBL1080487",NA,"Delta-Cotonefuran","Small molecule",0,260.24,4
"25","CHEMBL1784243",NA,NA,"Small molecule",0,416.69,3
"26","CHEMBL1834675","SPHAEROPSIDIN A",NA,"Small molecule",0,346.42,26
"27","CHEMBL1974356",NA,NA,"Small molecule",0,386.36,57
"28","CHEMBL1095954",NA,"(E)-Cinnamyl (E)-Cinnamate","Small molecule",0,264.32,3
"29","CHEMBL250872","SYRINGIN","Syringin","Small molecule",0,372.37,20
"30","CHEMBL258137","TYLOPHORINE","GNF-Pf-838","Small molecule",0,393.48,20
"31","CHEMBL1813259",NA,NA,"Small molecule",0,432.38,3
"32","CHEMBL443408","MYRTENOL","myrtenol","Small molecule",0,152.24,5
"33","CHEMBL1989993",NA,NA,"Small molecule",0,500.59,58
"34","CHEMBL518300","COMBRETOL","Combretol","Small molecule",0,388.37,1
"35","CHEMBL24171","BERGAPTEN","5-METHOXYPSORALEN|BERGAPTAN|BERGAPTEN|BERGAPTENE|Bergapten|GERALEN|HERACLIN|MAJUDIN|METHOXSALEN RELATED COMPOUND A|NSC-95437","Small molecule",4,216.19,119
"36","CHEMBL108862","CHAVICOL","4-Allyl-Phenol","Small molecule",0,134.18,4
"37","CHEMBL400538","COMAPARVIN","Comaparvin","Small molecule",0,300.31,5
"38","CHEMBL2375662",NA,NA,"Small molecule",0,838.94,3
"39","CHEMBL469855","OPHIOBOLIN C","Ophiobolin C","Small molecule",0,386.58,1
"40","CHEMBL505882",NA,"(23Z)-Coumaroylhederagenin","Small molecule",0,618.86,2
"41","CHEMBL2007233",NA,NA,"Small molecule",0,457.43,66
"42","CHEMBL485998","FRIEDELINE","Friedelin|Friedeline","Small molecule",0,426.73,25
"43","CHEMBL233930","ASTRAGALIN","Astragalin|Kaempferol 3-O-Glucoside","Small molecule",0,448.38,66
"44","CHEMBL464889",NA,NA,"Small molecule",0,364.35,5
